Test Number: 1
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1621373322.8505075
Stop Time: 1621373946.7213097
Run Time: 624
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1.0210096506113742,1.0210096506113742,1.0210096506113742,1.0210096506113742,1.0210096506113742,1.022278135999697,1.022278135999697,1.022278135999697,1.022278135999697,1.023252437815539,1.023252437815539,1.0234497588532179,1.0234497588532179,1.0234497588532179,1.0234497588532179,1.0234767421522422,1.0234767421522422
69,1621373324.0,34458.0,9053.0,2043.0,259.0,39.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1621373334.0,34419.0,8996.0,2027.0,286.0,53.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1621373344.0,33184.0,8472.0,2028.0,253.0,37.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1621373354.0,31357.0,8072.0,1732.0,305.0,42.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1621373364.0,31109.0,7997.0,1799.0,248.0,37.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1621373374.0,32632.0,8374.0,1822.0,264.0,45.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1621373384.0,32104.0,8355.0,1931.0,257.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1621373394.0,32212.0,8432.0,2004.0,277.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1621373404.0,32712.0,8389.0,1918.0,258.0,50.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
