Test Number: 0
Sensor: SPS30
Start Time: 1621372656.8049235
Stop Time: 1621373270.3372402
Run Time: 614
Samples,Epoch_UTC,NumbConc_0.5,NumbConc_1.0,NumbConc_2.5,NumbConc_4.0,NumbConc_10.
1,1,1,1,1,1,1
3,1621372663.7399998,993.7418884277344,1179.3917724609375,1199.2040161132813,1202.5214477539062,1203.1218872070312
4,1621372673.8299997,954.4791076660156,1135.1773315429687,1156.1151733398438,1159.6935913085938,1160.324658203125
5,1621372683.8999999,927.3725769042969,1103.857275390625,1124.9356567382813,1128.5634643554688,1129.1975463867188
6,1621372693.94,947.6980285644531,1126.9436767578125,1147.597607421875,1151.1228515625,1151.7455810546876
7,1621372704.0,985.7526977539062,1173.4105224609375,1195.8663818359375,1199.7328979492188,1200.408349609375
8,1621372714.0700002,1005.2527221679687,1198.6018432617188,1223.086474609375,1227.355078125,1228.0890502929688
9,1621372724.1400003,1001.1041809082031,1193.4003540039062,1217.5797729492188,1221.7887817382812,1222.5138916015626
10,1621372734.2000003,973.2160888671875,1158.8686401367188,1181.3441650390625,1185.224267578125,1185.8998291015625
11,1621372744.2799997,967.254931640625,1152.3065551757813,1175.0738037109375,1179.0183349609374,1179.702001953125
12,1621372754.3299997,995.7935180664062,1187.2633666992188,1211.4696533203125,1215.6881958007812,1216.4138916015625
13,1621372763.8999999,1013.7131076388889,1210.7992621527778,1237.1792534722222,1241.8307562934028,1242.6190321180557
14,1621372773.5,1033.2210632324218,1232.9995971679687,1259.0061889648437,1263.5662353515625,1264.344580078125
15,1621372783.6000001,1040.1439453125,1238.3133422851563,1262.1340087890626,1266.2397216796876,1266.9560546875
16,1621372793.7000003,1012.9940673828125,1205.3788208007813,1228.0876586914062,1231.9856079101562,1232.6691772460938
17,1621372803.7399998,984.6156433105468,1171.1047119140626,1192.7720825195313,1196.477490234375,1197.13046875
18,1621372813.7999997,970.1495849609375,1155.7486083984375,1178.5787963867188,1182.5340698242187,1183.2196411132813
19,1621372823.8799996,946.1267639160156,1130.2051025390624,1154.9322387695313,1159.29541015625,1160.034130859375
20,1621372833.97,932.8276794433593,1113.575146484375,1137.3595092773437,1141.5390625,1142.2504150390625
21,1621372844.0400002,956.5827575683594,1138.759619140625,1160.60869140625,1164.3726806640625,1165.0297729492188
22,1621372854.1000001,1056.0468444824219,1257.0903076171876,1281.150439453125,1285.2933227539063,1286.017041015625
23,1621372864.2000003,1036.823016357422,1236.7195434570312,1262.3536499023437,1266.8344360351562,1267.6022827148438
24,1621372874.23,1003.9368957519531,1197.1636352539062,1221.7208862304688,1226.005419921875,1226.741357421875
25,1621372884.3399997,976.4884643554688,1162.47001953125,1184.7847045898438,1188.6292602539063,1189.300341796875
26,1621372894.3999999,963.8453369140625,1145.4785888671875,1165.9507080078124,1169.4263549804687,1170.04453125
27,1621372903.9666667,966.6486002604166,1148.436984592014,1168.6699354383682,1172.0943060980903,1172.7057020399307
28,1621372913.5,960.5947509765625,1141.7619995117188,1162.282470703125,1165.7704711914062,1166.3899047851562
29,1621372923.5700002,956.4444580078125,1137.21591796875,1157.9575317382812,1161.4941284179688,1162.1197387695313
30,1621372933.6000001,990.091943359375,1177.5845336914062,1199.345458984375,1203.0659912109375,1203.7218139648437
31,1621372943.6700003,1004.8463439941406,1196.83447265625,1220.28203125,1224.3378662109376,1225.0422607421874
32,1621372953.7599998,1029.5415954589844,1228.6277099609374,1254.55693359375,1259.103857421875,1259.8798461914062
33,1621372963.8099997,990.9712219238281,1184.1080444335937,1210.2742919921875,1214.8991088867188,1215.6804565429688
34,1621372973.8899999,940.5994750976563,1123.9120483398438,1148.7426513671876,1153.1312744140625,1153.8727294921875
