Test Number: 0
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1622230417.0985217
Stop Time: 1622231082.548079
Run Time: 665
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1622230437.0,527373.0,285456.0,153203.0,52534.0,19075.0,18807.0,5126.0,2914.0,1646.0,421.0,74.0,21.0,6.0,4.0,0.0,2.0,0.0
1,1622230497.0,630652.0,348591.0,190416.0,65923.0,24101.0,24441.0,6589.0,3734.0,2223.0,545.0,102.0,32.0,12.0,1.0,0.0,0.0,0.0
2,1622230557.0,633630.0,349725.0,191833.0,66854.0,24165.0,24704.0,6425.0,3756.0,2156.0,593.0,100.0,20.0,5.0,1.0,0.0,0.0,0.0
3,1622230617.0,620854.0,338434.0,182842.0,63681.0,22810.0,22731.0,6178.0,3453.0,2092.0,473.0,99.0,28.0,6.0,1.0,2.0,0.0,0.0
4,1622230677.0,621795.0,341222.0,184351.0,63940.0,23234.0,23295.0,6225.0,3641.0,2067.0,583.0,104.0,41.0,11.0,8.0,3.0,0.0,0.0
5,1622230737.0,616171.0,334398.0,179666.0,62417.0,22707.0,22130.0,6145.0,3481.0,2047.0,587.0,122.0,49.0,15.0,4.0,1.0,0.0,0.0
6,1622230797.0,633780.0,350079.0,192462.0,68317.0,24469.0,24574.0,6723.0,3788.0,2248.0,599.0,120.0,43.0,9.0,3.0,0.0,0.0,0.0
7,1622230857.0,645627.0,360797.0,200845.0,71214.0,26183.0,26778.0,7165.0,4074.0,2268.0,614.0,118.0,22.0,12.0,1.0,1.0,0.0,0.0
8,1622230917.0,631777.0,346219.0,189380.0,66258.0,23620.0,23721.0,6418.0,3740.0,2192.0,552.0,97.0,24.0,6.0,0.0,1.0,0.0,0.0
9,1622230977.0,634159.0,343539.0,186578.0,64624.0,23122.0,22737.0,6159.0,3473.0,2092.0,538.0,99.0,25.0,12.0,3.0,1.0,0.0,0.0
10,1622231037.0,645853.0,357868.0,200133.0,70911.0,26469.0,26098.0,7150.0,3975.0,2347.0,615.0,116.0,24.0,6.0,2.0,0.0,0.0,0.0
