Test Number: 0
Sensor: SPS30
Start Time: 1622230417.0985217
Stop Time: 1622231082.548079
Run Time: 665
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
0,1622230451.8931043,229.28711831980738,270.88832986765897,293.8940124511719,298.4951498097387
1,1622230496.5416682,242.66313680013022,287.06239115397136,311.7105504353841,316.6401657104492
2,1622230556.7383342,242.47840525309246,284.592301940918,307.39942830403646,311.9608708699544
3,1622230616.9966686,233.72161204020182,277.32636210123695,301.7473480224609,306.6315272013346
4,1622230677.2066665,235.98793029785156,276.9629976908366,299.1503260294596,303.58775431315104
5,1622230736.8932202,220.02901057873743,257.6569870770988,277.87761571851826,281.92173844676904
6,1622230796.583333,234.53384348551432,276.7317845662435,299.9764104207357,304.62533315022785
7,1622230856.771668,248.04325180053712,294.831494140625,321.1628901163737,326.4291814168294
8,1622230916.9733346,232.60294138590496,274.72962799072263,298.00640360514325,302.66175231933596
9,1622230976.81695,227.30308532714844,265.87840581344346,286.5274792687368,290.65726070080774
10,1622231036.691666,247.13509724934895,291.4871470133464,315.8891265869141,320.7695124308268
