Test Number: 0
Sensor: TSI_3330_Opticle_Particle_Sizer
Start Time: 1621372656.8049235
Stop Time: 1621373270.3372402
Run Time: 614
Samples,Epoch_UTC,0.3_Bin,0.374_Bin,0.465_Bin,0.579_Bin,0.721_Bin,0.897_Bin,1.117_Bin,1.391_Bin,1.732_Bin,2.156_Bin,2.685_Bin,3.343_Bin,4.162_Bin,5.182_Bin,6.451_Bin,8.031_Bin,10.0_Bin
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1621372664.0,97472.0,43279.0,21948.0,6138.0,2172.0,2132.0,597.0,430.0,242.0,64.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0
4,1621372674.0,97091.0,43589.0,21703.0,6311.0,2220.0,2166.0,641.0,390.0,241.0,70.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0
5,1621372684.0,97770.0,44052.0,22439.0,6373.0,2222.0,2153.0,652.0,449.0,257.0,64.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
6,1621372694.0,99240.0,44975.0,22931.0,6835.0,2348.0,2426.0,729.0,483.0,317.0,77.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
7,1621372704.0,98044.0,44498.0,22682.0,6678.0,2424.0,2265.0,727.0,456.0,325.0,78.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0
8,1621372714.0,96819.0,43723.0,22065.0,6309.0,2300.0,2171.0,673.0,405.0,271.0,53.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0
9,1621372724.0,96693.0,42942.0,21980.0,6313.0,2214.0,2219.0,663.0,451.0,274.0,84.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0
10,1621372734.0,98142.0,44043.0,22246.0,6298.0,2339.0,2266.0,673.0,458.0,295.0,72.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
11,1621372744.0,99204.0,44898.0,23136.0,6677.0,2425.0,2375.0,733.0,507.0,335.0,86.0,14.0,6.0,3.0,1.0,0.0,0.0,0.0
12,1621372754.0,100260.0,45194.0,22881.0,6670.0,2403.0,2321.0,666.0,480.0,342.0,70.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0
13,1621372764.0,102335.0,46519.0,23936.0,6848.0,2489.0,2480.0,783.0,483.0,336.0,87.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
14,1621372774.0,98589.0,44648.0,22792.0,6411.0,2367.0,2229.0,707.0,433.0,287.0,63.0,18.0,5.0,3.0,0.0,0.0,0.0,0.0
15,1621372784.0,98290.0,43970.0,22547.0,6551.0,2279.0,2156.0,672.0,441.0,282.0,65.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
16,1621372794.0,98504.0,45117.0,22612.0,6606.0,2404.0,2312.0,710.0,459.0,323.0,89.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0
17,1621372804.0,98465.0,44714.0,23022.0,6644.0,2367.0,2299.0,752.0,462.0,297.0,108.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0
18,1621372814.0,97325.0,43957.0,22485.0,6516.0,2306.0,2221.0,692.0,479.0,331.0,68.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0
19,1621372824.0,99125.0,45362.0,23158.0,6679.0,2436.0,2318.0,767.0,466.0,343.0,73.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0
20,1621372834.0,101984.0,47819.0,24754.0,7303.0,2638.0,2669.0,812.0,526.0,335.0,76.0,24.0,7.0,1.0,0.0,0.0,0.0,0.0
21,1621372844.0,102208.0,47286.0,24484.0,7381.0,2644.0,2505.0,746.0,508.0,362.0,87.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0
22,1621372854.0,99908.0,46053.0,23566.0,6744.0,2506.0,2470.0,735.0,471.0,331.0,83.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0
23,1621372864.0,98738.0,44289.0,23103.0,6586.0,2372.0,2359.0,735.0,435.0,340.0,90.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
24,1621372874.0,98597.0,44375.0,22457.0,6551.0,2325.0,2351.0,719.0,526.0,348.0,87.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
25,1621372884.0,97239.0,43470.0,22230.0,6410.0,2403.0,2238.0,696.0,439.0,298.0,72.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0
26,1621372894.0,97012.0,43138.0,21873.0,6309.0,2276.0,2218.0,659.0,460.0,286.0,80.0,20.0,5.0,2.0,0.0,0.0,0.0,0.0
27,1621372904.0,95575.0,42721.0,21713.0,6229.0,2251.0,2102.0,682.0,445.0,274.0,62.0,18.0,5.0,1.0,1.0,1.0,0.0,0.0
28,1621372914.0,99086.0,44119.0,22631.0,6505.0,2382.0,2241.0,729.0,431.0,317.0,82.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0
29,1621372924.0,99011.0,44826.0,22948.0,6576.0,2331.0,2322.0,715.0,490.0,324.0,73.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0
30,1621372934.0,98860.0,45798.0,23636.0,6749.0,2510.0,2390.0,799.0,487.0,336.0,76.0,16.0,9.0,0.0,1.0,0.0,0.0,0.0
31,1621372944.0,97577.0,44024.0,22583.0,6676.0,2340.0,2232.0,698.0,425.0,306.0,83.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0
32,1621372954.0,97871.0,43626.0,22168.0,6284.0,2318.0,2224.0,669.0,414.0,300.0,92.0,17.0,8.0,2.0,0.0,0.0,0.0,0.0
33,1621372964.0,96528.0,43210.0,21966.0,6316.0,2248.0,2078.0,694.0,455.0,272.0,85.0,15.0,5.0,4.0,0.0,0.0,0.0,0.0
34,1621372974.0,96167.0,43010.0,21768.0,6170.0,2229.0,2077.0,581.0,384.0,285.0,78.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0
35,1621372984.0,97083.0,44573.0,22985.0,6629.0,2363.0,2370.0,721.0,467.0,348.0,84.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0
36,1621372994.0,98987.0,44601.0,23165.0,6718.0,2366.0,2329.0,701.0,483.0,312.0,76.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0
37,1621373004.0,99397.0,43905.0,22142.0,6216.0,2275.0,2144.0,625.0,425.0,290.0,91.0,20.0,3.0,0.0,0.0,1.0,0.0,0.0
38,1621373014.0,99876.0,44632.0,22467.0,6493.0,2397.0,2326.0,673.0,464.0,290.0,66.0,16.0,2.0,4.0,0.0,1.0,0.0,0.0
39,1621373024.0,101278.0,45931.0,23227.0,6724.0,2483.0,2358.0,775.0,490.0,321.0,77.0,23.0,10.0,3.0,0.0,0.0,0.0,0.0
40,1621373034.0,101623.0,45707.0,23067.0,6656.0,2399.0,2354.0,715.0,426.0,287.0,84.0,16.0,7.0,0.0,2.0,0.0,0.0,0.0
41,1621373044.0,99856.0,44176.0,22610.0,6276.0,2239.0,2231.0,663.0,470.0,283.0,74.0,17.0,6.0,2.0,0.0,1.0,0.0,0.0
42,1621373054.0,99329.0,44998.0,23152.0,6588.0,2372.0,2187.0,726.0,463.0,293.0,79.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0
43,1621373064.0,101643.0,46198.0,24129.0,7117.0,2574.0,2621.0,833.0,512.0,337.0,80.0,21.0,3.0,1.0,1.0,0.0,0.0,0.0
44,1621373074.0,100036.0,45722.0,23651.0,6784.0,2480.0,2471.0,778.0,526.0,361.0,87.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0
45,1621373084.0,98732.0,44780.0,22924.0,6720.0,2441.0,2416.0,675.0,506.0,308.0,83.0,18.0,6.0,3.0,1.0,0.0,0.0,0.0
46,1621373094.0,99701.0,45735.0,23188.0,6594.0,2426.0,2364.0,746.0,476.0,339.0,96.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1621373104.0,100758.0,45775.0,23953.0,6883.0,2453.0,2444.0,731.0,492.0,318.0,85.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0
48,1621373114.0,100385.0,46375.0,24132.0,7134.0,2607.0,2595.0,881.0,506.0,362.0,81.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0
49,1621373124.0,99626.0,45273.0,23707.0,6920.0,2604.0,2507.0,777.0,508.0,370.0,94.0,15.0,3.0,0.0,1.0,0.0,1.0,0.0
50,1621373134.0,99368.0,45362.0,23031.0,6707.0,2481.0,2374.0,752.0,490.0,369.0,86.0,22.0,8.0,2.0,0.0,1.0,0.0,0.0
51,1621373144.0,98444.0,44587.0,22525.0,6480.0,2382.0,2320.0,725.0,468.0,314.0,84.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0
52,1621373154.0,97699.0,43814.0,21915.0,6475.0,2248.0,2165.0,681.0,491.0,309.0,84.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0
53,1621373164.0,97321.0,42897.0,21702.0,6095.0,2156.0,2157.0,642.0,436.0,277.0,76.0,20.0,5.0,0.0,3.0,0.0,0.0,0.0
54,1621373174.0,95485.0,42224.0,21136.0,5771.0,2057.0,1983.0,603.0,422.0,263.0,67.0,17.0,6.0,1.0,0.0,0.0,0.0,0.0
55,1621373184.0,95497.0,42050.0,21080.0,5947.0,2119.0,1969.0,557.0,387.0,234.0,63.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0
56,1621373194.0,96112.0,42056.0,21409.0,5986.0,2072.0,1949.0,585.0,396.0,293.0,63.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0
57,1621373204.0,97177.0,43339.0,21583.0,6209.0,2209.0,2209.0,635.0,412.0,272.0,83.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0
58,1621373214.0,96153.0,42830.0,21423.0,5974.0,2093.0,2060.0,657.0,412.0,244.0,70.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0
59,1621373224.0,97664.0,43182.0,21605.0,6260.0,2132.0,2098.0,664.0,436.0,295.0,70.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0
60,1621373234.0,98569.0,44192.0,22268.0,6345.0,2327.0,2190.0,692.0,457.0,336.0,96.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0
61,1621373244.0,98311.0,43383.0,22193.0,6229.0,2233.0,2174.0,645.0,437.0,304.0,75.0,17.0,8.0,2.0,2.0,0.0,0.0,0.0
62,1621373254.0,98109.0,44444.0,22431.0,6387.0,2322.0,2288.0,761.0,494.0,305.0,73.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0
63,1621373264.0,87954.0,40051.0,21144.0,6135.0,2311.0,2211.0,702.0,444.0,311.0,81.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0
