Test Number: 0
Sensor: SPS30
Start Time: 1621372656.8049235
Stop Time: 1621373270.3372402
Run Time: 614
Samples,Epoch_UTC,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.
1,1,1,1,1,1
3,1621372663.7399998,150.37953186035156,173.68350982666016,185.55047607421875,187.92388763427735
4,1621372673.8299997,144.99202880859374,169.40367584228517,182.4176483154297,185.02045440673828
5,1621372683.8999999,141.08777313232423,165.58753356933593,178.85440216064453,181.50775299072265
6,1621372693.94,143.92269897460938,168.0172592163086,180.8243408203125,183.38570861816407
7,1621372704.0,149.98421478271484,176.07996368408203,190.2247802734375,193.05372619628906
8,1621372714.0700002,153.41119842529298,181.70746612548828,197.4737762451172,200.6270736694336
9,1621372724.1400003,152.71881256103515,180.68126525878907,196.20964813232422,199.3152847290039
10,1621372734.2000003,148.16537780761718,174.25375518798828,188.47715759277344,191.32184600830078
11,1621372744.2799997,147.38247680664062,173.76742095947264,188.26726989746095,191.16727600097656
12,1621372754.3299997,151.95370635986328,179.93271179199218,195.51007385253905,198.6254913330078
13,1621372763.8999999,155.19272698296442,185.52264912923178,202.8520253499349,206.31786939832898
14,1621372773.5,157.92349700927736,187.9006149291992,204.81748809814454,208.2008529663086
15,1621372783.6000001,158.2964645385742,185.96581420898437,200.99755859375,204.00396118164062
16,1621372793.7000003,154.02234649658203,180.44861297607423,194.67310180664063,197.51796112060546
17,1621372803.7399998,149.58984985351563,174.84502258300782,188.3278564453125,191.0243896484375
18,1621372813.7999997,147.8220443725586,174.28047943115234,188.81934509277343,191.72713623046874
19,1621372823.8799996,144.8764663696289,173.29683837890624,189.56057434082032,192.81326904296876
20,1621372833.97,142.6672378540039,170.05547943115235,185.58657989501953,188.6927963256836
21,1621372844.0400002,145.56271362304688,170.94762725830077,184.72275390625,187.47777252197267
22,1621372854.1000001,160.68047180175782,188.640283203125,203.7962615966797,206.8274398803711
23,1621372864.2000003,158.33958740234374,187.92893829345704,204.51260986328126,207.82931823730468
24,1621372874.23,153.240771484375,181.61121826171876,197.4455337524414,200.61241607666017
25,1621372884.3399997,148.5949447631836,174.51976928710937,188.5908004760742,191.4050537109375
26,1621372894.3999999,146.2199905395508,170.15782470703124,182.7312438964844,185.24591674804688
27,1621372903.9666667,146.55853441026477,170.24845547146268,182.60546705457898,185.07687377929688
28,1621372913.5,145.76093444824218,169.74280395507813,182.37315063476564,184.89925384521484
29,1621372923.5700002,145.22110900878906,169.42864532470702,182.2668014526367,184.8344299316406
30,1621372933.6000001,150.41402130126954,175.78099670410157,189.3159973144531,192.02295989990233
31,1621372943.6700003,153.05099487304688,180.24403076171876,195.13428649902343,198.11232147216796
32,1621372953.7599998,157.36553039550782,187.2520980834961,204.12163543701172,207.4955047607422
33,1621372963.8099997,151.82084197998046,181.87213592529298,199.1328125,202.58497314453126
34,1621372973.8899999,144.10206604003906,172.61992340087892,188.99855346679686,192.27425537109374
35,1621372983.9299998,139.32907409667968,168.30603637695313,185.27821655273436,188.67262268066406
36,1621372994.02,140.5052230834961,168.532470703125,184.6812530517578,187.9110092163086
37,1621373004.1000001,142.5172348022461,170.56694946289062,186.64036560058594,189.85503234863282
38,1621373014.1500003,143.40930633544923,170.5923324584961,185.9228317260742,188.98895111083985
39,1621373024.2100003,144.01882934570312,169.55650634765624,183.52706298828124,186.32117462158203
40,1621373034.2999997,147.81077880859374,173.89339752197264,188.1286392211914,190.97571411132813
41,1621373044.3099997,154.93497009277343,182.22340545654296,197.10317687988282,200.07916259765625
42,1621373054.3999999,156.51967163085936,182.78336486816406,196.7601058959961,199.555517578125
43,1621373064.3999999,154.04537811279297,179.1058837890625,192.2239791870117,194.84755096435546
44,1621373074.0,151.9442376030816,178.47663031684027,192.88370259602866,195.76505872938367
45,1621373083.5500002,148.97953338623046,174.48346252441405,188.19598846435548,190.93848419189453
46,1621373093.6000001,146.94684143066405,172.08177642822267,185.5901901245117,188.2919143676758
47,1621373103.6900003,146.3234390258789,171.04814910888672,184.25360870361328,186.89468994140626
48,1621373113.73,146.89991607666016,170.9271041870117,183.5412338256836,186.06404571533204
49,1621373123.7999997,150.8194580078125,177.62271575927736,192.30130462646486,195.2369827270508
50,1621373133.8899999,153.23308868408202,181.9557083129883,198.07540740966797,201.29935607910156
51,1621373143.95,153.2681915283203,182.6628860473633,199.32486419677736,202.65729675292968
52,1621373154.0,154.1324890136719,181.377734375,196.25991516113282,199.23636322021486
53,1621373164.0600002,155.56476440429688,182.79859008789063,197.60489654541016,200.5661849975586
54,1621373174.1000001,153.5380645751953,179.8775161743164,194.05426025390625,196.88961639404297
55,1621373184.2000003,150.6512939453125,175.293408203125,188.230712890625,190.81820678710938
56,1621373194.2499998,145.07176208496094,168.36707763671876,180.47386016845704,182.89524841308594
57,1621373204.3099997,139.77057647705078,161.322607421875,172.26509552001954,174.45352783203126
58,1621373214.3999999,136.6976318359375,158.4094985961914,169.62421722412108,171.86719207763673
59,1621373223.9777777,137.96427747938367,160.3928951687283,172.12876213921442,174.4759521484375
60,1621373233.52,141.3102020263672,164.9734878540039,177.5530548095703,180.06895141601564
61,1621373243.6000001,145.00962524414064,169.00817108154297,181.68701171875,184.22274932861328
62,1621373253.6900003,145.5129653930664,169.20937957763672,181.6202880859375,184.10242309570313
63,1621373263.7599998,145.65670166015624,170.52908935546876,183.88502807617186,186.55625915527344
