size,bypass_001,bypass_002,bypass_003,bypass_004,bypass_005,off_001,off_002,off_003,off_004,off_005,bypass_avg,bypass_std,off_avg,off_std
0.3,681553,707068,711419,690243,671031,11251,8182,7821,7610,7652,692262.8,16997.9608,8503.2,1552.523655
0.374,418392,449210,452097,449473,442815,3938,2265,2025,1916,2042,442397.4,13847.30563,2437.2,848.4979081
0.465,265143,291476,286494,288524,287274,1703,751,662,690,736,283782.2,10590.62709,908.4,445.6167636
0.579,90494,108829,111190,114803,114430,506,194,168,155,180,107949.2,10061.51309,240.6,149.0630739
0.721,32826,41522,42472,44422,44760,166,68,62,60,67,41200.4,4870.842514,84.6,45.62674654
0.897,32330,41811,43469,44517,44474,157,84,89,84,75,41320.2,5144.120595,97.8,33.47685768
1.117,9185,13066,13676,13977,13850,47,40,38,35,48,12750.8,2023.739287,41.6,5.683308895
1.391,4642,7112,7771,7443,7920,36,32,36,20,26,6977.6,1342.319746,30,6.92820323
1.732,2377,4369,4740,4596,4725,23,14,22,19,28,4161.4,1008.523822,21.2,5.167204273
2.156,461,1042,1192,1070,1232,8,6,12,5,16,999.4,311.3965318,9.4,4.5607017
2.685,30,153,145,149,147,4,2,4,0,12,124.8,53.07730212,4.4,4.5607017
3.343,8,29,29,23,22,0,2,3,1,4,22.2,8.584870413,2,1.58113883
4.162,0,6,2,6,7,1,2,1,1,4,4.2,3.033150178,1.8,1.303840481
5.182,2,0,1,2,1,0,0,0,2,1,1.2,0.8366600265,0.6,0.894427191
6.451,0,0,0,1,0,1,0,1,0,1,0.2,0.4472135955,0.6,0.5477225575
8.031,0,0,0,0,1,0,0,0,0,1,0.2,0.4472135955,0.2,0.4472135955
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,1537443,1665693,1674697,1659249,1632689,17841,11642,10944,10598,10893,1633954.2,56176.43309,12383.6,3074.731257
