Epoch_UTC,0.3_Bin,0.5_Bin,1.0_Bin,2.5_Bin,5.0_Bin,10.0_Bin,PM_1.0_SP,PM_2.5_SP,PM_10.0_SP,PM_1.0_AM,PM_2.5_AM,PM_10.0_AM
1621526905.1031,804.0000,248.0000,36.0000,0.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526905.6131,804.0000,248.0000,36.0000,0.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526906.4521,846.0000,262.0000,42.0000,0.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526907.3601,846.0000,262.0000,42.0000,0.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526908.1991,846.0000,262.0000,42.0000,0.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526909.0381,864.0000,268.0000,36.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526909.9461,864.0000,268.0000,36.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621526910.7851,864.0000,268.0000,36.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526911.6231,822.0000,255.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526912.5321,822.0000,255.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526913.3701,822.0000,255.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526914.2091,816.0000,254.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526915.1171,816.0000,254.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526915.9571,816.0000,254.0000,32.0000,1.0000,0.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621526916.7951,810.0000,254.0000,28.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621526917.7041,810.0000,254.0000,28.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621526918.5431,810.0000,254.0000,28.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
